anzahl;vorname;geschlecht;position
24;Jakob;m;2
24;Joshua;m;1
24;Luna;w;1
24;Lian;m;1
24;Zeynep;w;1
24;Linus;m;1
24;Mateo;m;1
23;Johannes;m;2
23;Alina;w;1
23;Carla;w;1
23;Hannes;m;1
23;Helena;w;1
23;Jannis;m;1
23;Mara;w;1
22;Emilia;w;2
22;Christian;m;2
22;Josefine;w;2
22;Bruno;m;1
22;Amalia;w;1
22;Hamza;m;1
22;Ava;w;1
22;Maja;w;1
22;Paulina;w;1
21;Friedrich;m;2
21;Leon;m;2
21;Amir;m;1
21;Eva;w;1
21;Jana;w;1
21;Lilli;w;1
20;Can;m;2
20;Leonard;m;2
20;Michael;m;2
20;Valentin;m;2
20;Carlo;m;1
20;Kian;m;1
20;Marlon;m;1
20;Nico;m;1
20;Simon;m;1
20;Carlotta;w;1
20;Ela;w;1
20;Isabella;w;1
20;Matilda;w;1
19;Rosa;w;2
19;Jonathan;m;2
19;Noah;m;2
19;Theodor;m;1
19;Amira;w;1
19;Fiona;w;1
19;Leyla;w;1
19;Pia;w;1
18;Louis;m;2
18;Vincent;m;2
18;Ali;m;1
18;Can;m;1
18;Fritz;m;1
18;Ole;m;1
18;Flora;w;1
17;Josephine;w;2
17;Sofia;w;2
17;Su;w;2
17;Benjamin;m;2
17;Felix;m;2
17;Gabriel;m;2
17;Henri;m;2
17;Leo;m;2
17;Adrian;m;1
17;Carl;m;1
17;Daniel;m;1
17;Frederik;m;1
17;Alma;w;1
17;Jona;m;1
17;Aurora;w;1
17;Lasse;m;1
17;Milena;w;1
17;Muhammed;m;1
17;Victoria;w;1
17;Rafael;m;1
17;Yasin;m;1
16;Maria;w;3
16;Mathilda;w;2
16;Theodor;m;2
16;Finja;w;1
16;Malia;w;1
16;Enno;m;1
16;Martha;w;1
16;Kilian;m;1
16;Mattis;m;1
16;Maxim;m;1
16;Piet;m;1
16;Till;m;1
16;Yusuf;m;1
15;Marie;w;3
15;Nur;w;2
15;Sofie;w;2
15;Jonas;m;2
15;Luca;m;2
15;Peter;m;2
15;Alva;w;1
15;Amelia;w;1
15;Ayla;w;1
15;Elisabeth;w;1
15;Jule;w;1
15;Melek;w;1
15;Deniz;m;1
15;Merle;w;1
15;Fynn;m;1
15;Jannik;m;1
15;Lucas;m;1
15;Luka;m;1
15;Matti;m;1
15;Mert;m;1
15;Michael;m;1
14;Lina;w;2
14;Malou;w;2
14;Valentina;w;2
14;Levi;m;2
14;Wilhelm;m;2
14;Asya;w;1
14;Azra;w;1
14;Karla;w;1
14;Livia;w;1
14;Melissa;w;1
14;Milla;w;1
14;Rosa;w;1
14;Aras;m;1
14;Viktoria;w;1
14;Constantin;m;1
14;Zoe;w;1
14;Damian;m;1
14;Emilian;m;1
14;Emilio;m;1
14;Eric;m;1
14;Fiete;m;1
14;Ilyas;m;1
14;Leonardo;m;1
14;Luke;m;1
14;Malte;m;1
14;Nils;m;1
14;Rayan;m;1
14;Sam;m;1
13;Helene;w;2
13;Lou;w;2
13;Louise;w;2
13;Heinrich;m;2
13;Julius;m;2
13;Kaan;m;2
13;Konstantin;m;2
13;Cataleya;w;1
13;Giulia;w;1
13;Hira;w;1
13;Katharina;w;1
13;Liana;w;1
13;Lotte;w;1
13;Luise;w;1
13;Nina;w;1
13;Sarah;w;1
13;Thea;w;1
13;Theresa;w;1
13;Caspar;m;1
13;Florian;m;1
13;Mohammed;m;1
13;Thilo;m;1
13;Yunus;m;1
12;Antonia;w;2
12;Carlotta;w;2
12;Emma;w;2
12;Lucia;w;2
12;Paula;w;2
12;Pauline;w;2
12;Theresa;w;2
12;Victoria;w;2
12;Jan;m;2
12;Luis;m;2
12;Alea;w;1
12;Amilia;w;1
12;Elli;w;1
12;Liv;w;1
12;Ronja;w;1
12;Stella;w;1
12;Alessio;m;1
12;Bela;m;1
12;Bilal;m;1
12;John;m;1
12;Justus;m;1
12;Lars;m;1
12;Mohamed;m;1
12;Nick;m;1
12;Phil;m;1
12;Robin;m;1
12;Timo;m;1
11;Isabella;w;2
11;Viktoria;w;2
11;Andreas;m;2
11;Antonio;m;2
11;Ben;m;2
11;Fritz;m;2
11;Henry;m;2
11;Liam;m;2
11;Philipp;m;2
11;Sebastian;m;2
11;Amina;w;1
11;Anni;w;1
11;Chiara;w;1
11;Elina;w;1
11;Hedi;w;1
11;Isabelle;w;1
11;Leona;w;1
11;Lou;w;1
11;Medina;w;1
11;Meryem;w;1
11;Sena;w;1
11;Arian;m;1
11;Toni;w;1
11;Elia;m;1
11;Fabian;m;1
11;Johannes;m;1
11;Kaan;m;1
11;Kalle;m;1
11;Lennard;m;1
11;Lias;m;1
11;Luan;m;1
11;Noel;m;1
11;Raphael;m;1
11;Sebastian;m;1
11;Selim;m;1
11;Titus;m;1
11;Ömer;m;1
10;Alexandra;w;2
10;Christina;w;2
10;Elif;w;2
10;Elise;w;2
10;Julie;w;2
10;Klara;w;2
10;Magdalena;w;2
10;Marlene;w;2
10;Mia;w;2
10;August;m;2
10;Daniel;m;2
10;Finn;m;2
10;Franz;m;2
10;Leander;m;2
10;Maria;m;2
10;Ole;m;2
10;Oliver;m;2
10;Alessia;w;1
10;Anastasia;w;1
10;Liah;w;1
10;Lola;w;1
10;Luana;w;1
10;Maila;w;1
10;Selin;w;1
10;Ayaz;m;1
10;Elyas;m;1
10;Ferdinand;m;1
10;Henrik;m;1
10;Hugo;m;1
10;Jano;m;1
10;Jasper;m;1
10;Johan;m;1
10;Konstantin;m;1
10;Lenn;m;1
10;Levin;m;1
10;Lion;m;1
10;Mehmet;m;1
10;Mio;m;1
10;Semih;m;1
10;Vito;m;1
9;Elisabeth;w;3
9;Aurora;w;2
9;Ela;w;2
9;Frieda;w;2
9;Grace;w;2
9;Helena;w;2
9;Isabelle;w;2
9;Leni;w;2
9;Lotta;w;2
9;Louisa;w;2
9;Benedikt;m;2
9;Carl;m;2
9;Emilio;m;2
9;Georg;m;2
9;Hans;m;2
9;Joseph;m;2
9;Martin;m;2
9;Maxim;m;2
9;Pepe;m;2
9;Samuel;m;2
9;Aleyna;w;1
9;Alice;w;1
9;Fatima;w;1
9;Helen;w;1
9;Helene;w;1
9;Lana;w;1
9;Lene;w;1
9;Linda;w;1
9;Lucy;w;1
9;Malina;w;1
9;Miray;w;1
9;Philippa;w;1
9;Selina;w;1
9;Yuna;w;1
9;Zoé;w;1
9;Adem;m;1
9;Angelo;m;1
9;Antonio;m;1
9;Ari;m;1
9;Benedikt;m;1
9;Benno;m;1
9;Janosch;m;1
9;Jayden;m;1
9;Juri;m;1
9;Lenny;m;1
9;Marcel;m;1
9;Matheo;m;1
9;Mikail;m;1
9;Tobias;m;1
9;Yiğit;m;1
8;Ava;w;2
8;Christine;w;2
8;Clara;w;2
8;Jolie;w;2
8;Lea;w;2
8;Malia;w;2
8;Marleen;w;2
8;Zehra;w;2
8;Arthur;m;2
8;Ferdinand;m;2
8;Joel;m;2
8;Klaus;m;2
8;Moritz;m;2
8;Simon;m;2
8;Theo;m;2
8;Tom;m;2
8;Alba;w;1
8;Alexandra;w;1
8;Aliya;w;1
8;Aliyah;w;1
8;Alya;w;1
8;Annika;w;1
8;Edda;w;1
8;Eliana;w;1
8;Emilie;w;1
8;Isabell;w;1
8;Jonna;w;1
8;Josefine;w;1
8;Josephine;w;1
8;Liara;w;1
8;Lorena;w;1
8;Lucia;w;1
8;Mariella;w;1
8;Marleen;w;1
8;Rebecca;w;1
8;Yasmin;w;1
8;Amin;m;1
8;Arthur;m;1
8;Friedrich;m;1
8;Jacob;m;1
8;Leopold;m;1
8;Martin;m;1
8;Nathan;m;1
8;Oscar;m;1
8;Salih;m;1
8;Sami;m;1
7;Amalia;w;2
7;Aurelia;w;2
7;Lara;w;2
7;Laura;w;2
7;Leonie;w;2
7;Margarete;w;2
7;Meryem;w;2
7;Mila;w;2
7;Bruno;m;2
7;Caspar;m;2
7;Erik;m;2
7;Fabian;m;2
7;Julian;m;2
7;Linus;m;2
7;Lukas;m;2
7;Matteo;m;2
7;Matthias;m;2
7;Nicolas;m;2
7;Ömer;m;2
7;Aaliyah;w;1
7;Alara;w;1
7;Alisa;w;1
7;Arya;w;1
7;Celine;w;1
7;Cleo;w;1
7;Defne;w;1
7;Diana;w;1
7;Emmi;w;1
7;Evelyn;w;1
7;Hailey;w;1
7;Jasmin;w;1
7;Juli;w;1
7;Anas;m;1
7;Lilia;w;1
7;Carlos;m;1
7;Linn;w;1
7;Christian;m;1
7;Malou;w;1
7;Diego;m;1
7;Maryam;w;1
7;Elian;m;1
7;Mayla;w;1
7;Ensar;m;1
7;Melia;w;1
7;Eymen;m;1
7;Melisa;w;1
7;Isa;m;1
7;Nala;w;1
7;Jannes;m;1
7;Naomi;w;1
7;Joel;m;1
7;Nika;w;1
7;Jonte;m;1
7;Nisa;w;1
7;Joris;m;1
7;Pina;w;1
7;Kerim;m;1
7;Selma;w;1
7;Kiyan;m;1
7;Shirin;w;1
7;Len;m;1
7;Talia;w;1
7;Lennart;m;1
7;Tessa;w;1
7;Mads;m;1
7;Valentina;w;1
7;Mark;m;1
7;Yaren;w;1
7;Neo;m;1
7;Zümra;w;1
7;Nicolas;m;1
7;Nikolas;m;1
7;Philip;m;1
7;Samu;m;1
7;Tristan;m;1
7;Umut;m;1
7;Younes;m;1
6;Gabriel;m;3
6;Peter;m;3
6;Katharina;w;3
6;Amelie;w;2
6;Barbara;w;2
6;Edith;w;2
6;Ella;w;2
6;Erika;w;2
6;Eva;w;2
6;Felicitas;w;2
6;Greta;w;2
6;Hannah;w;2
6;Isabel;w;2
6;Jasmin;w;2
6;Liya;w;2
6;Maja;w;2
6;Martha;w;2
6;Olivia;w;2
6;Alp;m;2
6;Sara;w;2
6;Christoph;m;2
6;Clemens;m;2
6;Constantin;m;2
6;Efe;m;2
6;Elia;m;2
6;Emir;m;2
6;Eric;m;2
6;Hamza;m;2
6;Hugo;m;2
6;Hüseyin;m;2
6;Jasper;m;2
6;Joshua;m;2
6;Leopold;m;2
6;Ludwig;m;2
6;Matti;m;2
6;Max;m;2
6;Milan;m;2
6;Noel;m;2
6;Raphael;m;2
6;Richard;m;2
6;Robert;m;2
6;Stefan;m;2
6;Thomas;m;2
6;Willi;m;2
6;Alissa;w;1
6;Angelina;w;1
6;Annie;w;1
6;Ariana;w;1
6;Aurelia;w;1
6;Aylin;w;1
6;Beyza;w;1
6;Abdul;m;1
6;Carolin;w;1
6;Béla;m;1
6;Ecrin;w;1
6;Charlie;m;1
6;Eleni;w;1
6;Eliah;m;1
6;Elin;w;1
6;Enes;m;1
6;Elise;w;1
6;Eren;m;1
6;Eliz;w;1
6;Fabio;m;1
6;Emelie;w;1
6;Franz;m;1
6;Enna;w;1
6;Giuseppe;m;1
6;Freya;w;1
6;Hendrik;m;1
6;Fritzi;w;1
6;Jamal;m;1
6;Helin;w;1
6;Jaron;m;1
6;Hilda;w;1
6;Konrad;m;1
6;Ilayda;w;1
6;Koray;m;1
6;Isabel;w;1
6;Leander;m;1
6;Karlotta;w;1
6;Leano;m;1
6;Leah;w;1
6;Lennox;m;1
6;Lucie;w;1
6;Lionel;m;1
6;Lynn;w;1
6;Lorenz;m;1
6;Marla;w;1
6;Marvin;m;1
6;Melody;w;1
6;Miguel;m;1
6;Neele;w;1
6;Mikael;m;1
6;Noemi;w;1
6;Musa;m;1
6;Ruby;w;1
6;Nael;m;1
6;Samira;w;1
6;Nevio;m;1
6;Zehra;w;1
6;Oliver;m;1
6;Pepe;m;1
6;Salvatore;m;1
6;Thomas;m;1
6;Timur;m;1
6;Yannick;m;1
5;Anton;m;3
5;Maria;m;3
5;Thomas;m;3
5;Alice;w;2
5;Alina;w;2
5;Amelia;w;2
5;Elena;w;2
5;Emilie;w;2
5;Hanna;w;2
5;Ida;w;2
5;Isabell;w;2
5;Juliane;w;2
5;Juna;w;2
5;Laureen;w;2
5;Liv;w;2
5;Luana;w;2
5;Luzia;w;2
5;Madeleine;w;2
5;Malea;w;2
5;Malin;w;2
5;Marianne;w;2
5;Martina;w;2
5;Mathilde;w;2
5;Matilda;w;2
5;Milou;w;2
5;Rosalie;w;2
5;Thea;w;2
5;Aaron;m;2
5;Valerie;w;2
5;Abdullah;m;2
5;Ahmet;m;2
5;Amin;m;2
5;Aras;m;2
5;Bo;m;2
5;Charlie;m;2
5;Deniz;m;2
5;Emilian;m;2
5;Emre;m;2
5;Ernst;m;2
5;Florian;m;2
5;Fred;m;2
5;Frederik;m;2
5;Gustav;m;2
5;Hannes;m;2
5;Hector;m;2
5;Johan;m;2
5;Jonah;m;2
5;Jérôme;m;2
5;Kilian;m;2
5;Leonhard;m;2
5;Levent;m;2
5;Lio;m;2
5;Marc;m;2
5;Marcel;m;2
5;Marlon;m;2
5;Mattis;m;2
5;Maurice;m;2
5;Michel;m;2
5;Oscar;m;2
5;Otto;m;2
5;Piet;m;2
5;Severin;m;2
5;Tobias;m;2
5;Valentino;m;2
5;Willem;m;2
5;Ada;w;1
5;Aisha;w;1
5;Alena;w;1
5;Alicia;w;1
5;Amélie;w;1
5;Bella;w;1
5;Albert;m;1
5;Celina;w;1
5;Arda;m;1
5;Ceyda;w;1
5;Ayman;m;1
5;Coco;w;1
5;Azad;m;1
5;Delia;w;1
5;Bennet;m;1
5;Deniz;w;1
5;Bo;m;1
5;Eda;w;1
5;Casper;m;1
5;Elissa;w;1
5;Darian;m;1
5;Emely;w;1
5;Eddie;m;1
5;Eylül;w;1
5;Ediz;m;1
5;Felina;w;1
5;Eliano;m;1
5;Florentine;w;1
5;Emirhan;m;1
5;Franka;w;1
5;Emre;m;1
5;Hazal;w;1
5;Filip;m;1
5;Hilal;w;1
5;Hakan;m;1
5;Iva;w;1
5;Ibrahim;m;1
5;Juliana;w;1
5;Jakub;m;1
5;Kiara;w;1
5;Jannick;m;1
5;Leonora;w;1
5;Jesse;m;1
5;Liliana;w;1
5;Jordan;m;1
5;Liva;w;1
5;Karim;m;1
5;Marina;w;1
5;Karlo;m;1
5;Matea;w;1
5;Kenan;m;1
5;Melike;w;1
5;Keno;m;1
5;Nefes;w;1
5;Kevin;m;1
5;Nela;w;1
5;Kurt;m;1
5;Philine;w;1
5;Kuzey;m;1
5;Ruth;w;1
5;Leandro;m;1
5;Tuana;w;1
5;Lino;m;1
5;Zahra;w;1
5;Lorenzo;m;1
5;Maksim;m;1
5;Mattes;m;1
5;Mohamad;m;1
5;Mohammad;m;1
5;Niko;m;1
5;Nikolai;m;1
5;Peter;m;1
5;Rio;m;1
5;Severin;m;1
5;Stefan;m;1
5;Viktor;m;1
5;Yousef;m;1
4;Anna;w;3
4;Alexander;m;3
4;Josefine;w;3
4;Johann;m;3
4;Luise;w;3
4;Josef;m;3
4;Marlene;w;3
4;Maximilian;m;3
4;Paul;m;3
4;Wilhelm;m;3
4;Ada;w;2
4;Chiara;w;2
4;Deniz;w;2
4;Edda;w;2
4;Eleonora;w;2
4;Elli;w;2
4;Estelle;w;2
4;Franziska;w;2
4;Gioia;w;2
4;Henriette;w;2
4;Karla;w;2
4;Karlotta;w;2
4;Leyla;w;2
4;Lia;w;2
4;Lisa;w;2
4;Luna;w;2
4;Mara;w;2
4;Margareta;w;2
4;Mina;w;2
4;Naz;w;2
4;Nicole;w;2
4;Nora;w;2
4;Ophelia;w;2
4;Patricia;w;2
4;Paulina;w;2
4;Pia;w;2
4;Rose;w;2
4;Ruth;w;2
4;Susanne;w;2
4;Teresa;w;2
4;Therese;w;2
4;Veronika;w;2
4;Yuna;w;2
4;Zoe;w;2
4;Adam;m;2
4;Bastian;m;2
4;Bjarne;m;2
4;Carlo;m;2
4;Dominik;m;2
4;Enno;m;2
4;Giuseppe;m;2
4;Gregor;m;2
4;Halil;m;2
4;Joachim;m;2
4;Justus;m;2
4;Lars;m;2
4;Levin;m;2
4;Manuel;m;2
4;Miguel;m;2
4;Musa;m;2
4;Mustafa;m;2
4;Niklas;m;2
4;Nikolas;m;2
4;Oskar;m;2
4;Philip;m;2
4;Pio;m;2
4;Ralf;m;2
4;Romeo;m;2
4;Ryan;m;2
4;Walter;m;2
4;Yasin;m;2
4;Adriana;w;1
4;Amal;w;1
4;Annabell;w;1
4;Anouk;w;1
4;Aria;w;1
4;Arin;w;1
4;Açelya;w;1
4;Carolina;w;1
4;Daria;w;1
4;Dua;w;1
4;Elsa;w;1
4;Franziska;w;1
4;Giorgia;w;1
4;Abdullah;m;1
4;Giuliana;w;1
4;Adriano;m;1
4;Gloria;w;1
4;Ahmed;m;1
4;Hafsa;w;1
4;Ahmet;m;1
4;Hana;w;1
4;Aiden;m;1
4;Hatice;w;1
4;Alan;m;1
4;Janne;w;1
4;Alex;m;1
4;Jenna;w;1
4;Alparslan;m;1
4;Julie;w;1
4;Alpay;m;1
4;Juno;w;1
4;Antonius;m;1
4;Kaya;w;1
4;Arman;m;1
4;Kiana;w;1
4;Aron;m;1
4;Layan;w;1
4;August;m;1
4;Leana;w;1
4;Bastian;m;1
4;Leia;w;1
4;Bryan;m;1
4;Lili;w;1
4;Clemens;m;1
4;Lilian;w;1
4;Devin;m;1
4;Lilou;w;1
4;Dian;m;1
4;Lily;w;1
4;Diyan;m;1
4;Liyah;w;1
4;Dominik;m;1
4;Lorin;w;1
4;Edgar;m;1
4;Louise;w;1
4;Edin;m;1
4;Lydia;w;1
4;Edwin;m;1
4;Madita;w;1
4;Elyesa;m;1
4;Malin;w;1
4;Fridolin;m;1
4;Marit;w;1
4;Gabriele;m;1
4;Melis;w;1
4;Gereon;m;1
4;Meyra;w;1
4;Giuliano;m;1
4;Mia-Sophie;w;1
4;Giulio;m;1
4;Milana;w;1
4;Hans;m;1
4;Miriam;w;1
4;Ilias;m;1
4;Nadia;w;1
4;Ilja;m;1
4;Natalia;w;1
4;Ilya;m;1
4;Nayla;w;1
4;Immanuel;m;1
4;Nia;w;1
4;Isaac;m;1
4;Nila;w;1
4;Issa;m;1
4;Nilay;w;1
4;Jamie;m;1
4;Penelope;w;1
4;Jerome;m;1
4;Polina;w;1
4;Josha;m;1
4;Rosalie;w;1
4;Kerem;m;1
4;Rüya;w;1
4;Keyan;m;1
4;Simay;w;1
4;Leonidas;m;1
4;Smilla;w;1
4;Lewis;m;1
4;Svea;w;1
4;Logan;m;1
4;Vanessa;w;1
4;Lounis;m;1
4;Wilma;w;1
4;Luciano;m;1
4;Yara;w;1
4;Mahir;m;1
4;Manuel;m;1
4;Matthias;m;1
4;Michele;m;1
4;Mike;m;1
4;Mustafa;m;1
4;Nathaniel;m;1
4;Nino;m;1
4;Nuri;m;1
4;Omar;m;1
4;Pablo;m;1
4;Ruben;m;1
4;Samy;m;1
4;Sandro;m;1
4;Santiago;m;1
4;Sinan;m;1
4;Taha;m;1
4;Tahir;m;1
4;Talha;m;1
4;Tammo;m;1
4;Tamo;m;1
4;Thies;m;1
4;Vincenzo;m;1
4;Yassin;m;1
4;Youssef;m;1
3;Freya;w;3
3;Sophia;w;3
3;Sophie;w;3
3;Friedrich;m;3
3;James;m;3
3;Leon;m;3
3;Ludwig;m;3
3;Richard;m;3
3;Rudolf;m;3
3;Abigail;w;2
3;Adele;w;2
3;Alba;w;2
3;Alessia;w;2
3;Alicia;w;2
3;Anne;w;2
3;Anneliese;w;2
3;Anni;w;2
3;Asenova;w;2
3;Carolin;w;2
3;Carolina;w;2
3;Caroline;w;2
3;Christiane;w;2
3;Christin;w;2
3;Cäcilia;w;2
3;Daniela;w;2
3;Dilara;w;2
3;Ecrin;w;2
3;Elea;w;2
3;Eleni;w;2
3;Elin;w;2
3;Elsa;w;2
3;Elvira;w;2
3;Erva;w;2
3;Fatima;w;2
3;Felice;w;2
3;Feline;w;2
3;Fiona;w;2
3;Flora;w;2
3;André;m;2
3;Francesca;w;2
3;Ari;m;2
3;Frida;w;2
3;Artur;m;2
3;Gabriele;w;2
3;Asaf;m;2
3;Gerda;w;2
3;Aziz;m;2
3;Gül;w;2
3;Bela;m;2
3;Hafsa;w;2
3;Carlos;m;2
3;Harper;w;2
3;Charles;m;2
3;Hermine;w;2
3;Christopher;m;2
3;Ioana;w;2
3;Cosmo;m;2
3;Jana;w;2
3;Dean;m;2
3;Julia;w;2
3;Ege;m;2
3;Juliana;w;2
3;Eliah;m;2
3;Justine;w;2
3;Emanuel;m;2
3;Kaur;w;2
3;Emin;m;2
3;Lilli;w;2
3;Francesco;m;2
3;Linea;w;2
3;Frederic;m;2
3;Livia;w;2
3;George;m;2
3;Lucía;w;2
3;Günter;m;2
3;Lynn;w;2
3;Hasan;m;2
3;Malina;w;2
3;Heinz;m;2
3;Matilde;w;2
3;Herbert;m;2
3;Merle;w;2
3;Hermann;m;2
3;Miray;w;2
3;Ilyas;m;2
3;Nisa;w;2
3;İlyas;m;2
3;Petra;w;2
3;Immanuel;m;2
3;Philine;w;2
3;Ingo;m;2
3;Pippa;w;2
3;Jaden;m;2
3;Rosemarie;w;2
3;James;m;2
3;Sarah;w;2
3;Janne;m;2
3;Sofi;w;2
3;Jason;m;2
3;Stella;w;2
3;Joe;m;2
3;Sylvia;w;2
3;Joris;m;2
3;Theresia;w;2
3;José;m;2
3;Ute;w;2
3;Junior;m;2
3;Vera;w;2
3;Kasper;m;2
3;Vy;w;2
3;Kerim;m;2
3;Wilhelmine;w;2
3;Kian;m;2
3;Wilma;w;2
3;Konrad;m;2
3;Yankova;w;2
3;Krasimirov;m;2
3;Lasse;m;2
3;Leano;m;2
3;Lennard;m;2
3;Lian;m;2
3;Lorenz;m;2
3;Luan;m;2
3;Lucas;m;2
3;Magnus;m;2
3;Malik;m;2
3;Malte;m;2
3;Marco;m;2
3;Mario;m;2
3;Mateo;m;2
3;Mats;m;2
3;Mehmet;m;2
3;Mert;m;2
3;Mika;m;2
3;Milo;m;2
3;Minh;m;2
3;Mio;m;2
3;Miran;m;2
3;Nicholas;m;2
3;Nuh;m;2
3;Phillip;m;2
3;Ricardo;m;2
3;Roman;m;2
3;Said;m;2
3;Singh;m;2
3;Talha;m;2
3;Thore;m;2
3;Thorin;m;2
3;Tim;m;2
3;Tristan;m;2
3;Vincenzo;m;2
3;William;m;2
3;Wolf;m;2
3;Ahsen;w;1
3;Alia;w;1
3;Alisha;w;1
3;Almila;w;1
3;Alyssa;w;1
3;Amara;w;1
3;Amy;w;1
3;Anisa;w;1
3;Annabella;w;1
3;Annabelle;w;1
3;Asel;w;1
3;Auri;w;1
3;Aya;w;1
3;Aybüke;w;1
3;Ayşe;w;1
3;Bea;w;1
3;Camilla;w;1
3;Caroline;w;1
3;Charlie;w;1
3;Christina;w;1
3;Claire;w;1
3;Clarissa;w;1
3;Edith;w;1
3;Elea;w;1
3;Eleonora;w;1
3;Adrián;m;1
3;Eliza;w;1
3;Aland;m;1
3;Elizan;w;1
3;Alp;m;1
3;Ellena;w;1
3;Alperen;m;1
3;Elmedina;w;1
3;Ammar;m;1
3;Elva;w;1
3;Andrei;m;1
3;Emilija;w;1
3;Anil;m;1
3;Enisa;w;1
3;Ares;m;1
3;Esila;w;1
3;Armin;m;1
3;Eslem;w;1
3;Artur;m;1
3;Felicia;w;1
3;Ata;m;1
3;Feline;w;1
3;Atakan;m;1
3;Frederike;w;1
3;Atilla;m;1
3;Gabriela;w;1
3;Ayden;m;1
3;Hanin;w;1
3;Baran;m;1
3;Hayat;w;1
3;Batuhan;m;1
3;Henni;w;1
3;Baybars;m;1
3;Holly;w;1
3;Berk;m;1
3;İkra;w;1
3;Berkay;m;1
3;Ilaria;w;1
3;Bosse;m;1
3;Iliana;w;1
3;Cem;m;1
3;Ina;w;1
3;Colin;m;1
3;Ivana;w;1
3;Conrad;m;1
3;Jannah;w;1
3;Dani;m;1
3;Jolina;w;1
3;Daniele;m;1
3;Kaja;w;1
3;Dario;m;1
3;Kayra;w;1
3;Darius;m;1
3;Kim;w;1
3;Dominic;m;1
3;Kira;w;1
3;Dylan;m;1
3;Klea;w;1
3;Egemen;m;1
3;Laetitia;w;1
3;Elija;m;1
3;Lale;w;1
3;Elijah;m;1
3;Lamija;w;1
3;Eliyas;m;1
3;Larissa;w;1
3;Elmar;m;1
3;Lenia;w;1
3;Emanuel;m;1
3;Letizia;w;1
3;Emanuele;m;1
3;Lian;w;1
3;Emin;m;1
3;Lilith;w;1
3;Emmanuel;m;1
3;Lilo;w;1
3;Erdem;m;1
3;Loredana;w;1
3;Erfan;m;1
3;Lyana;w;1
3;Frederick;m;1
3;Magdalena;w;1
3;Frido;m;1
3;Maia;w;1
3;Frieder;m;1
3;Malak;w;1
3;Gregor;m;1
3;Malena;w;1
3;Hasan;m;1
3;Malu;w;1
3;Hassan;m;1
3;Maneli;w;1
3;Hector;m;1
3;Mariam;w;1
3;Hektor;m;1
3;Marlen;w;1
3;Henning;m;1
3;Marlie;w;1
3;Idris;m;1
3;Marta;w;1
3;Ilai;m;1
3;Mascha;w;1
3;Ilay;m;1
3;Matilde;w;1
3;İlyas;m;1
